Kab/Kota;Beta 1;Beta 2;Beta 3;Beta 4
Kab Serang;5.459028878;3.848616646;3.703380411;2.571834321
Kota Cilegon;5.436145205;3.704523447;3.591450536;2.341186787
Kab Lebak;5.464717307;3.851070377;3.760653718;2.07758775
Kab Tanggerang;5.463976019;3.867553366;3.782788271;2.112016711
Kota Jakarta Barat;5.556365132;4.105516219;3.924416825;2.847997137
Kota Jakarta Selatan;5.527618202;4.137089501;3.916303845;2.889540122
Kota Jakarta Timur;5.520359353;4.292061471;3.935326318;3.391759061
Kota Jakarta Utara;5.554757409;4.264225274;3.947322078;3.329153962
Kab Bekasi;5.223665008;4.620385646;4.964266277;4.085488235
Kab Bogor;5.437414583;3.743855201;3.626939488;2.055047862
Kota Depok;5.472396604;4.066956022;3.820138444;2.739483802
Kab Purwakarta;5.475346271;4.597718673;3.6602232;5.618796491
Kab Subang;5.468022719;4.254699029;3.36125951;5.175132612
Kab Cirebon;3.389086644;-1.23597109;-3.332912322;0.239268903
Kota Sukabumi;-15.877153;-7.506118706;-7.474451468;-9.90892858
Kab Bandung Barat;5.490667557;4.303237929;3.559089186;5.320076392
Kota Cimahi;5.525001431;4.25165369;3.543682039;5.307528896
Kota Banjar;6.802132884;-3.724740887;-3.927515419;-1.30377589
Kab Ciamis;5.424926252;3.199969433;2.39878234;2.97635365
Kab Tasikmalaya;-13.2052403;-8.196035492;-5.791415321;-4.823512142
Kab Rembang;5.470272536;4.943766535;2.310770127;3.734893231
Kab Demak;5.464226138;4.114381923;1.743969326;2.30387209
Kab Grobogan;5.463782007;4.497004355;1.944399703;2.940427878
Kab Semarang;5.459374959;2.788901026;1.321298095;1.010246663
Kab Boyolali;5.452429263;2.492753193;1.303334773;0.918277871
Kab Klaten;5.444712921;2.449703944;1.298145303;0.897542478
Kab Sukoharjo;5.398864073;2.979534094;1.461876907;1.331750135
Kota Salatiga;5.459510304;2.670535679;1.316856137;0.970934268
Kab Pekalongan;5.454359432;3.141917037;1.5743389;1.660699544
Kab Tegal;5.498488873;3.527171539;1.974705214;3.454007527
Kota Pekalongan;5.454250349;3.144336793;1.575761279;1.670700729
Kota Tegal;5.515711235;3.531521891;2.0019747;3.494907764
Kab Magelang;5.43958934;2.015566963;1.058120551;0.50528099
Kab Purworejo;5.448938;2.073187808;1.118322884;0.869133285
Kab Temanggung;5.457703293;2.262914445;1.154601417;0.553111681
Kab Banyumas;5.470068839;3.895746469;1.947674988;4.039622052
Kab Kebumen;5.45318927;2.802723187;1.379506048;1.918542993
Kab Purbalingga;5.448727922;3.442729375;1.670276668;3.100787914
Kab Bantul;5.437671235;2.045732524;1.102825648;0.732259678
Kab Gunung Kidul;5.457027503;2.390586755;1.283994094;0.886758647
Kab Pamekasan;5.46053445;3.608488636;2.972902942;1.26341924
Kab Pasuruan;5.448933424;3.070225358;2.435021635;0.577145849
Kab Jombang;5.454613007;3.402054599;1.945483631;0.429739734
Kab Mojokerto;5.444293299;2.854739861;2.00582656;-0.165572572
Kab Sidoarjo;5.445553036;2.462408705;2.133687811;-0.408428967
Kab Bangkalan;5.450749183;2.450939134;2.177058854;0.10095528
Kab Gresik;5.445637822;2.448761525;2.015165276;-0.23605054
Kab Lamongan;5.457079603;2.716034194;2.021992648;0.184007557
Kab Malang;5.458093006;3.815111552;2.462924138;1.547699217
Kota Batu;5.460914195;3.635421732;2.274768118;0.990414735
Kab Madiun;5.490294769;4.846565187;2.151586113;2.457000942
Kab Trenggalek;5.457788377;4.356240057;2.009905847;1.855764151
Kab Kediri;5.439441728;4.017590678;2.002507767;1.09480423
Kab Magetan;5.482967239;4.652791061;2.08862786;2.618794259
Kab Ngawi;5.473365425;5.177039565;2.245172051;3.392873169
Kota Serang;-13.21342234;-9.117068319;-10.36948427;-7.353018764
Kab Pandeglang;30.1475738;21.00832342;23.81905617;17.10918227
Kota Tanggerang;5.435949394;4.662009577;4.971318957;4.489788822
Kota Tanggerang Selatan;3.564720918;-1.583722254;-0.332144514;-4.515493567
Kepulauan Seribu;-12.12619573;-8.820182804;-10.38060599;-5.269162986
Kota Jakarta Pusat;27.72033554;20.34923662;23.84179077;12.45755051
Kota Bekasi;5.223665008;4.620385646;4.964266277;4.085488235
Kota Bogor;2.228740075;-2.021051447;-0.277550672;-7.087571221
Kab Indramayu;-13.11855583;-9.464946953;-7.988764214;-11.20909194
Kab Karawang;29.93880672;21.78904417;18.5079442;25.71704195
Kab Kuningan;5.430737918;4.747901477;4.523457403;5.238995895
Kota Cirebon;3.389086644;-1.23597109;-3.332912322;0.239268903
Kab Majalengka;-12.52242056;-6.014867802;-7.51039761;-8.532369547
Kab Sumedang;28.60853423;14.09313383;17.44206485;19.73695777
Kab Garut;5.316992405;4.102476178;4.439197875;4.697468185
Kab Cianjur;2.644791653;-5.600599896;-3.961295086;-2.966068606
Kab Sukabumi;-15.877153;-7.506118706;-7.474451468;-9.90892858
Kab Bandung;36.09619527;17.4201362;17.35782543;22.8116274
Kota Bandung;5.964113491;4.383862868;4.414610891;4.972830991
Kab Pangandaran;6.802132884;-3.724740887;-3.927515419;-1.30377589
Kota Tasikmalaya;-13.2052403;-8.196035492;-5.791415321;-4.823512142
Kab Sragen;30.13340908;18.97751734;13.59756681;11.45679482
Kab Karanganyar;5.452414342;4.594044747;4.073341631;3.972764145
Kab Pati;3.474524251;-3.211845735;-5.939492431;-7.521114286
Kab Wonogiri;-12.8883637;-7.154727969;-6.453204169;-5.827960512
Kab Blora;29.42712579;16.65283808;15.08281141;13.70123094
Kab Kudus;5.395586018;4.390921934;4.236897846;4.177695963
Kota Semarang;3.062772441;-4.492269787;-5.278652809;-6.325941304
Kota Surakarta;-10.84954034;-11.88587541;-5.831275694;-7.61072844
Kab Jepara;24.87481169;27.21418975;13.69493941;17.67656623
Kab Batang;4.994717055;5.310482534;4.118045355;4.505080528
Kab Kendal;0.569817449;1.340032913;-6.054328398;-4.043407774
Kab Pemalang;-13.00353955;-6.08538255;-5.40389094;-11.5255624
Kab Brebes;29.69241128;14.26553989;12.7394832;26.41641301
Kab Wonosobo;5.45398581;4.182218057;4.028793871;5.269298655
Kota Magelang;3.044963071;-5.806673848;-6.553748631;0.767862592
Kab Banjarnegara;-12.59514712;-10.8479907;-7.903085722;-10.05670771
Kab Cilacap;28.77471842;24.8997267;18.3421795;23.13623513
Kab Sleman;5.348022485;5.119366437;4.619078511;4.978302634
Kota Yogyakarta;2.659483878;0.013506804;-3.936686364;-1.01843733
Kab Kulon Progo;-9.345764273;-11.47876588;-7.546054065;-5.034949161
Kab Situbondo;21.52890945;26.30421391;17.54164885;11.9266214
Kab Probolinggo;4.750793463;5.226140358;4.534148491;4.004326769
Kab Sumenep;-1.498505527;0.861309456;-4.307882092;-7.218168939
Kab Jember;-10.85488611;-10.23060869;-11.64689149;-4.97671138
Kab Bondowoso;24.89750223;23.5155408;26.69812156;11.79825078
Kab Banyuwangi;5.043127015;4.9729369;5.34072776;4.000201821
Kota Pasuruan;0.366224584;-0.630285208;0.70513454;-7.321882255
Kota Probolinggo;-10.16842182;-7.227199795;-5.268146376;-6.456671466
Kab Lumajang;23.36316774;16.81364246;12.45824352;15.1009248
Kab Sampang;4.901166586;4.400715756;4.098335993;4.283252343
Kota Mojokerto;-0.442132788;-4.383886893;-7.146706097;-5.477061288
Kota Surabaya;-10.02677937;-12.65854089;-6.64598001;-7.265365648
Kab Blitar;23.04514673;28.93675242;15.53561713;16.9031159
Kota Malang;4.865567973;5.450706563;4.373324221;4.426962593
Kab Nganjuk;-0.580942144;2.336697037;-5.480080945;-4.420380682
Kab Tuban;-7.879449299;-10.4464337;-5.288230202;-4.346202731
Kab Bojonegoro;18.25168936;23.99301039;12.50715906;10.38467359
Kab Tulungagung;4.448349973;4.995874351;4.120216872;3.850830493
Kota Blitar;-3.22869249;-0.279876939;-7.201712458;-7.980123628
Kota Kediri;-9.776351072;-10.51046613;-7.853729943;-5.929037114
Kota Madiun;22.48131244;24.13882786;18.22494104;13.91974289
Kab Pacitan;4.79574497;5.020992313;4.578389434;4.165980497
Kab Ponorogo;-0.795819518;-0.25716819;-3.859557291;-6.062191993
